JSONID,Prompt,ImageID,Relation,RelationType,Subject,Predicate,SubjectType,PredicateType,Dyad,DyadType,Selected
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0015.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0001.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0017.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0003.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0002.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0016.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0009.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0008.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0012.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0006.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0007.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0013.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0005.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0011.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0010.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0004.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0000.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0014.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0015.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0001.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0017.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0003.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0002.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0016.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0009.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box in a bowl,0008.jpg,in,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0012.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0006.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0007.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0013.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0005.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0011.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0010.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0004.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0000.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0014.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,1
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0015.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0001.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0017.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0003.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0002.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0016.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0009.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a teacup near a cylinder,0008.jpg,near,physical,teacup,cylinder,object,object,teacup-cylinder,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0012.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0006.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0007.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0013.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0005.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0011.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0010.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0004.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0000.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0014.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0015.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0001.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0017.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0003.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0002.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0016.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0009.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,1
294f4a5642c7437a92df5170d8c41f3c,a woman hindering a robot,0008.jpg,hindering,agentic,woman,robot,agent,agent,woman-robot,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0012.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0006.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0007.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0013.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0005.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0011.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0010.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0004.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0000.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0014.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0015.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0001.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0017.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0003.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0002.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0016.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0009.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder hanging over a box,0008.jpg,hanging over,physical,cylinder,box,object,object,cylinder-box,object-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0012.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0006.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0007.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0013.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0005.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0011.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0010.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0004.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0000.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0014.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0015.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0001.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0017.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0003.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0002.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0016.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0009.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,an iguana touching a cylinder,0008.jpg,touching,agentic,iguana,cylinder,agent,object,iguana-cylinder,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0012.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0006.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0007.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0013.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0005.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0011.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0010.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0004.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0000.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0014.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0015.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0001.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0017.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0003.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0002.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0016.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0009.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a blanket hanging over a knife,0008.jpg,hanging over,physical,blanket,knife,object,object,blanket-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0012.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0006.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0007.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0013.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0005.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0011.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0010.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0004.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0000.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0014.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0015.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0001.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0017.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0003.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0002.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0016.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,1
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0009.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a child pulling a box,0008.jpg,pulling,agentic,child,box,agent,object,child-box,agent-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0012.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0006.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0007.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0013.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0005.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0011.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0010.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0004.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0000.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0014.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0015.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0001.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0017.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0003.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0002.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0016.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0009.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a cylinder on a knife,0008.jpg,in,physical,cylinder,knife,object,object,cylinder-knife,object-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0012.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0006.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0007.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0013.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0005.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,1
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0011.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0010.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0004.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0000.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0014.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0015.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0001.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0017.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
9c7a4ba560d94829b88050211f47a8a1,a child pushing a bowl,0003.jpg,pushing,agentic,child,bowl,agent,object,child-bowl,agent-object,0
