ID,Prompt,Relation1,Relation2,Image,Type,Agree
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_9.png,Agentic/Agentic,1.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_10.png,Agentic/Agentic,1.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_1.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_2.png,Physical/Physical,1.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_3.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_4.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_5.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_6.png,Physical/Physical,1.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_7.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_8.png,Physical/Physical,1.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_9.png,Physical/Physical,0.0
2,a teacup hanging over a blanket with the blanket covering a car,hanging over,covering,a_teacup_hanging_over_a_blanket_with_the_blanket_covering_a_car_image_10.png,Physical/Physical,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_1.png,Agentic/Agentic,1.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_2.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_3.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_4.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_5.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_6.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_7.png,Agentic/Agentic,1.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_8.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_9.png,Agentic/Agentic,0.0
2,a rabbit touching a monkey with the monkey touching a tiger,touching,touching,a_rabbit_touching_a_monkey_with_the_monkey_touching_a_tiger_image_10.png,Agentic/Agentic,1.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_1.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_2.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_3.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_4.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_5.png,Agentic/Agentic,1.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_6.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_7.png,Agentic/Agentic,1.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_8.png,Agentic/Agentic,1.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_9.png,Agentic/Agentic,0.0
2,a man helping a woman with the woman helping a child,helping,helping,a_man_helping_a_woman_with_the_woman_helping_a_child_image_10.png,Agentic/Agentic,1.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_1.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_2.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_3.png,Agentic/Agentic,1.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_4.png,Agentic/Agentic,1.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_5.png,Agentic/Agentic,1.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_6.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_7.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_8.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_9.png,Agentic/Agentic,1.0
2,a man pushing a robot with the robot pulling a box,pushing,pulling,a_man_pushing_a_robot_with_the_robot_pulling_a_box_image_10.png,Agentic/Agentic,0.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_1.png,Physical/Physical,0.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_2.png,Physical/Physical,1.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_3.png,Physical/Physical,0.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_4.png,Physical/Physical,1.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_5.png,Physical/Physical,1.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_6.png,Physical/Physical,1.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_7.png,Physical/Physical,0.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_8.png,Physical/Physical,1.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_9.png,Physical/Physical,0.0
2,a bowl hanging over a teacup with the teacup near a car,hanging over,near,a_bowl_hanging_over_a_teacup_with_the_teacup_near_a_car_image_10.png,Physical/Physical,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_1.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_2.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_3.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_4.png,Physical/Agentic,1.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_5.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_6.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_7.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_8.png,Physical/Agentic,1.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_9.png,Physical/Agentic,0.0
2,a woman occluded by a robot with the robot pushing a car,occluded by,pushing,a_woman_occluded_by_a_robot_with_the_robot_pushing_a_car_image_10.png,Physical/Agentic,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_1.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_2.png,Physical/Physical,1.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_3.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_4.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_5.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_6.png,Physical/Physical,1.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_7.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_8.png,Physical/Physical,1.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_9.png,Physical/Physical,0.0
2,a teacup occluded by a cylinder with the cylinder occluded by a box,occluded by,occluded by,a_teacup_occluded_by_a_cylinder_with_the_cylinder_occluded_by_a_box_image_10.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_1.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_2.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_3.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_4.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_5.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_6.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_7.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_8.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_9.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl tied to a box,in,tied to,a_spoon_in_a_bowl_with_the_bowl_tied_to_a_box_image_10.png,Physical/Physical,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_1.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_2.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_3.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_4.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_5.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_6.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_7.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_8.png,Agentic/Agentic,1.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_9.png,Agentic/Agentic,0.0
2,a child chasing a monkey with the monkey chasing a rabbit,chasing,chasing,a_child_chasing_a_monkey_with_the_monkey_chasing_a_rabbit_image_10.png,Agentic/Agentic,0.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_1.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_2.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_3.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_4.png,Physical/Physical,0.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_5.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_6.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_7.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_8.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_9.png,Physical/Physical,1.0
2,a spoon in a bowl with the bowl in a box,in,in,a_spoon_in_a_bowl_with_the_bowl_in_a_box_image_10.png,Physical/Physical,1.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_1.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_2.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_3.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_4.png,Physical/Physical,1.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_5.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_6.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_7.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_8.png,Physical/Physical,0.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_9.png,Physical/Physical,1.0
2,a spoon on a box with the box on a cylinder,on,on,a_spoon_on_a_box_with_the_box_on_a_cylinder_image_10.png,Physical/Physical,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_1.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_2.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_3.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_4.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_5.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_6.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_7.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_8.png,Agentic/Agentic,1.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_9.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot hugging a box,pulling,hugging,a_child_pulling_a_robot_with_the_robot_hugging_a_box_image_10.png,Agentic/Agentic,0.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_1.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_2.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_3.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_4.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_5.png,Physical/Agentic,0.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_6.png,Physical/Agentic,0.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_7.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_8.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_9.png,Physical/Agentic,1.0
2,a woman near a man with the man hindering a cylinder,near,hindering,a_woman_near_a_man_with_the_man_hindering_a_cylinder_image_10.png,Physical/Agentic,0.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_1.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_2.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_3.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_4.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_5.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_6.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_7.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_8.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_9.png,Physical/Physical,1.0
2,a blanket near a box with the box in a car,near,in,a_blanket_near_a_box_with_the_box_in_a_car_image_10.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_1.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_2.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_3.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_4.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_5.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_6.png,Physical/Physical,0.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_7.png,Physical/Physical,1.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_8.png,Physical/Physical,0.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_9.png,Physical/Physical,0.0
2,a blanket covering a bowl with the bowl convering a spoon,covering,convering,a_blanket_covering_a_bowl_with_the_bowl_convering_a_spoon_image_10.png,Physical/Physical,1.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_1.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_2.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_3.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_4.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_5.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_6.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_7.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_8.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_9.png,Agentic/Agentic,0.0
2,a man pushing a robot with the robot pushing a box,pushing,pushing,a_man_pushing_a_robot_with_the_robot_pushing_a_box_image_10.png,Agentic/Agentic,1.0
2,an iguana in a robot with the robot pushing a bowl,in,pushing,an_iguana_in_a_robot_with_the_robot_pushing_a_bowl_image_1.png,Physical/Agentic,0.0
