,problem,num_incontext,attempt,accuracy,source
120,2.0,4.0,1,0.0,Chain of Thought 0
121,2.0,4.0,2,0.0,Chain of Thought 0
122,2.0,4.0,3,0.0,Chain of Thought 0
123,2.0,4.0,4,0.0,Chain of Thought 0
124,2.0,4.0,5,1.0,Chain of Thought 0
125,2.0,4.0,6,1.0,Chain of Thought 0
126,2.0,4.0,7,1.0,Chain of Thought 0
127,2.0,4.0,8,1.0,Chain of Thought 0
128,2.0,4.0,9,1.0,Chain of Thought 0
129,2.0,4.0,10,1.0,Chain of Thought 0
130,2.0,5.0,1,1.0,Chain of Thought 0
131,2.0,5.0,2,0.0,Chain of Thought 0
132,2.0,5.0,3,1.0,Chain of Thought 0
133,2.0,5.0,4,1.0,Chain of Thought 0
134,2.0,5.0,5,1.0,Chain of Thought 0
135,2.0,5.0,6,1.0,Chain of Thought 0
136,2.0,5.0,7,0.0,Chain of Thought 0
137,2.0,5.0,8,1.0,Chain of Thought 0
138,2.0,5.0,9,0.0,Chain of Thought 0
139,2.0,5.0,10,1.0,Chain of Thought 0
140,2.0,6.0,1,1.0,Chain of Thought 0
141,2.0,6.0,2,1.0,Chain of Thought 0
142,2.0,6.0,3,0.0,Chain of Thought 0
143,2.0,6.0,4,0.0,Chain of Thought 0
144,2.0,6.0,5,1.0,Chain of Thought 0
145,2.0,6.0,6,0.0,Chain of Thought 0
146,2.0,6.0,7,1.0,Chain of Thought 0
147,2.0,6.0,8,0.0,Chain of Thought 0
148,2.0,6.0,9,1.0,Chain of Thought 0
149,2.0,6.0,10,1.0,Chain of Thought 0
150,2.0,7.0,1,1.0,Chain of Thought 0
151,2.0,7.0,2,1.0,Chain of Thought 0
152,2.0,7.0,3,1.0,Chain of Thought 0
153,2.0,7.0,4,1.0,Chain of Thought 0
154,2.0,7.0,5,1.0,Chain of Thought 0
155,2.0,7.0,6,1.0,Chain of Thought 0
156,2.0,7.0,7,1.0,Chain of Thought 0
157,2.0,7.0,8,1.0,Chain of Thought 0
158,2.0,7.0,9,1.0,Chain of Thought 0
159,2.0,7.0,10,1.0,Chain of Thought 0
160,2.0,8.0,1,0.0,Chain of Thought 0
161,2.0,8.0,2,1.0,Chain of Thought 0
162,2.0,8.0,3,1.0,Chain of Thought 0
163,2.0,8.0,4,1.0,Chain of Thought 0
164,2.0,8.0,5,0.0,Chain of Thought 0
165,2.0,8.0,6,0.0,Chain of Thought 0
166,2.0,8.0,7,0.0,Chain of Thought 0
167,2.0,8.0,8,0.0,Chain of Thought 0
168,2.0,8.0,9,0.0,Chain of Thought 0
169,2.0,8.0,10,1.0,Chain of Thought 0
170,2.0,9.0,1,1.0,Chain of Thought 0
171,2.0,9.0,2,1.0,Chain of Thought 0
172,2.0,9.0,3,1.0,Chain of Thought 0
173,2.0,9.0,4,1.0,Chain of Thought 0
174,2.0,9.0,5,1.0,Chain of Thought 0
175,2.0,9.0,6,1.0,Chain of Thought 0
176,2.0,9.0,7,0.0,Chain of Thought 0
177,2.0,9.0,8,0.0,Chain of Thought 0
178,2.0,9.0,9,0.0,Chain of Thought 0
179,2.0,9.0,10,1.0,Chain of Thought 0
180,3.0,1.0,1,0.0,Chain of Thought 0
181,3.0,1.0,2,0.0,Chain of Thought 0
182,3.0,1.0,3,1.0,Chain of Thought 0
183,3.0,1.0,4,1.0,Chain of Thought 0
184,3.0,1.0,5,1.0,Chain of Thought 0
185,3.0,1.0,6,0.0,Chain of Thought 0
186,3.0,1.0,7,1.0,Chain of Thought 0
187,3.0,1.0,8,1.0,Chain of Thought 0
188,3.0,1.0,9,0.0,Chain of Thought 0
189,3.0,1.0,10,0.0,Chain of Thought 0
190,3.0,2.0,1,0.0,Chain of Thought 0
191,3.0,2.0,2,0.0,Chain of Thought 0
192,3.0,2.0,3,0.0,Chain of Thought 0
193,3.0,2.0,4,0.0,Chain of Thought 0
194,3.0,2.0,5,0.0,Chain of Thought 0
195,3.0,2.0,6,0.0,Chain of Thought 0
196,3.0,2.0,7,0.0,Chain of Thought 0
197,3.0,2.0,8,1.0,Chain of Thought 0
198,3.0,2.0,9,0.0,Chain of Thought 0
199,3.0,2.0,10,1.0,Chain of Thought 0
200,3.0,3.0,1,0.0,Chain of Thought 0
201,3.0,3.0,2,0.0,Chain of Thought 0
202,3.0,3.0,3,1.0,Chain of Thought 0
203,3.0,3.0,4,1.0,Chain of Thought 0
204,3.0,3.0,5,0.0,Chain of Thought 0
205,3.0,3.0,6,1.0,Chain of Thought 0
206,3.0,3.0,7,1.0,Chain of Thought 0
207,3.0,3.0,8,0.0,Chain of Thought 0
208,3.0,3.0,9,1.0,Chain of Thought 0
209,3.0,3.0,10,1.0,Chain of Thought 0
210,3.0,4.0,1,0.0,Chain of Thought 0
211,3.0,4.0,2,1.0,Chain of Thought 0
212,3.0,4.0,3,0.0,Chain of Thought 0
213,3.0,4.0,4,1.0,Chain of Thought 0
214,3.0,4.0,5,1.0,Chain of Thought 0
215,3.0,4.0,6,0.0,Chain of Thought 0
216,3.0,4.0,7,0.0,Chain of Thought 0
217,3.0,4.0,8,0.0,Chain of Thought 0
218,3.0,4.0,9,1.0,Chain of Thought 0
219,3.0,4.0,10,1.0,Chain of Thought 0
220,3.0,5.0,1,1.0,Chain of Thought 0
221,3.0,5.0,2,0.0,Chain of Thought 0
222,3.0,5.0,3,1.0,Chain of Thought 0
223,3.0,5.0,4,0.0,Chain of Thought 0
224,3.0,5.0,5,0.0,Chain of Thought 0
225,3.0,5.0,6,1.0,Chain of Thought 0
226,3.0,5.0,7,1.0,Chain of Thought 0
227,3.0,5.0,8,0.0,Chain of Thought 0
228,3.0,5.0,9,1.0,Chain of Thought 0
229,3.0,5.0,10,0.0,Chain of Thought 0
230,3.0,6.0,1,0.0,Chain of Thought 0
231,3.0,6.0,2,1.0,Chain of Thought 0
232,3.0,6.0,3,0.0,Chain of Thought 0
233,3.0,6.0,4,1.0,Chain of Thought 0
234,3.0,6.0,5,1.0,Chain of Thought 0
235,3.0,6.0,6,1.0,Chain of Thought 0
236,3.0,6.0,7,1.0,Chain of Thought 0
237,3.0,6.0,8,1.0,Chain of Thought 0
238,3.0,6.0,9,1.0,Chain of Thought 0
239,3.0,6.0,10,1.0,Chain of Thought 0
240,3.0,7.0,1,0.0,Chain of Thought 0
241,3.0,7.0,2,1.0,Chain of Thought 0
242,3.0,7.0,3,1.0,Chain of Thought 0
243,3.0,7.0,4,1.0,Chain of Thought 0
244,3.0,7.0,5,1.0,Chain of Thought 0
245,3.0,7.0,6,1.0,Chain of Thought 0
246,3.0,7.0,7,1.0,Chain of Thought 0
247,3.0,7.0,8,0.0,Chain of Thought 0
248,3.0,7.0,9,0.0,Chain of Thought 0
249,3.0,7.0,10,1.0,Chain of Thought 0
250,3.0,8.0,1,1.0,Chain of Thought 0
251,3.0,8.0,2,1.0,Chain of Thought 0
252,3.0,8.0,3,1.0,Chain of Thought 0
253,3.0,8.0,4,0.0,Chain of Thought 0
254,3.0,8.0,5,0.0,Chain of Thought 0
255,3.0,8.0,6,0.0,Chain of Thought 0
256,3.0,8.0,7,1.0,Chain of Thought 0
257,3.0,8.0,8,1.0,Chain of Thought 0
258,3.0,8.0,9,1.0,Chain of Thought 0
259,3.0,8.0,10,0.0,Chain of Thought 0
260,3.0,9.0,1,1.0,Chain of Thought 0
261,3.0,9.0,2,1.0,Chain of Thought 0
262,3.0,9.0,3,1.0,Chain of Thought 0
263,3.0,9.0,4,1.0,Chain of Thought 0
264,3.0,9.0,5,0.0,Chain of Thought 0
265,3.0,9.0,6,0.0,Chain of Thought 0
266,3.0,9.0,7,0.0,Chain of Thought 0
267,3.0,9.0,8,1.0,Chain of Thought 0
268,3.0,9.0,9,0.0,Chain of Thought 0
269,3.0,9.0,10,0.0,Chain of Thought 0
270,4.0,1.0,1,1.0,Chain of Thought 0
271,4.0,1.0,2,0.0,Chain of Thought 0
272,4.0,1.0,3,0.0,Chain of Thought 0
273,4.0,1.0,4,1.0,Chain of Thought 0
274,4.0,1.0,5,0.0,Chain of Thought 0
275,4.0,1.0,6,0.0,Chain of Thought 0
276,4.0,1.0,7,1.0,Chain of Thought 0
277,4.0,1.0,8,1.0,Chain of Thought 0
278,4.0,1.0,9,1.0,Chain of Thought 0
279,4.0,1.0,10,0.0,Chain of Thought 0
280,4.0,2.0,1,1.0,Chain of Thought 0
281,4.0,2.0,2,0.0,Chain of Thought 0
282,4.0,2.0,3,0.0,Chain of Thought 0
283,4.0,2.0,4,1.0,Chain of Thought 0
284,4.0,2.0,5,1.0,Chain of Thought 0
285,4.0,2.0,6,1.0,Chain of Thought 0
286,4.0,2.0,7,0.0,Chain of Thought 0
287,4.0,2.0,8,1.0,Chain of Thought 0
288,4.0,2.0,9,1.0,Chain of Thought 0
289,4.0,2.0,10,1.0,Chain of Thought 0
290,4.0,3.0,1,1.0,Chain of Thought 0
291,4.0,3.0,2,1.0,Chain of Thought 0
292,4.0,3.0,3,1.0,Chain of Thought 0
293,4.0,3.0,4,1.0,Chain of Thought 0
294,4.0,3.0,5,1.0,Chain of Thought 0
295,4.0,3.0,6,1.0,Chain of Thought 0
296,4.0,3.0,7,1.0,Chain of Thought 0
297,4.0,3.0,8,0.0,Chain of Thought 0
298,4.0,3.0,9,1.0,Chain of Thought 0
299,4.0,3.0,10,1.0,Chain of Thought 0
300,4.0,4.0,1,1.0,Chain of Thought 0
301,4.0,4.0,2,1.0,Chain of Thought 0
302,4.0,4.0,3,0.0,Chain of Thought 0
303,4.0,4.0,4,1.0,Chain of Thought 0
304,4.0,4.0,5,1.0,Chain of Thought 0
305,4.0,4.0,6,1.0,Chain of Thought 0
306,4.0,4.0,7,1.0,Chain of Thought 0
307,4.0,4.0,8,1.0,Chain of Thought 0
308,4.0,4.0,9,1.0,Chain of Thought 0
309,4.0,4.0,10,1.0,Chain of Thought 0
310,4.0,5.0,1,1.0,Chain of Thought 0
311,4.0,5.0,2,1.0,Chain of Thought 0
312,4.0,5.0,3,1.0,Chain of Thought 0
313,4.0,5.0,4,1.0,Chain of Thought 0
314,4.0,5.0,5,1.0,Chain of Thought 0
315,4.0,5.0,6,1.0,Chain of Thought 0
316,4.0,5.0,7,1.0,Chain of Thought 0
317,4.0,5.0,8,1.0,Chain of Thought 0
318,4.0,5.0,9,0.0,Chain of Thought 0
319,4.0,5.0,10,1.0,Chain of Thought 0
320,4.0,6.0,1,1.0,Chain of Thought 0
321,4.0,6.0,2,1.0,Chain of Thought 0
322,4.0,6.0,3,1.0,Chain of Thought 0
323,4.0,6.0,4,1.0,Chain of Thought 0
324,4.0,6.0,5,1.0,Chain of Thought 0
325,4.0,6.0,6,1.0,Chain of Thought 0
326,4.0,6.0,7,1.0,Chain of Thought 0
327,4.0,6.0,8,1.0,Chain of Thought 0
328,4.0,6.0,9,1.0,Chain of Thought 0
329,4.0,6.0,10,1.0,Chain of Thought 0
330,4.0,7.0,1,1.0,Chain of Thought 0
331,4.0,7.0,2,1.0,Chain of Thought 0
332,4.0,7.0,3,1.0,Chain of Thought 0
333,4.0,7.0,4,1.0,Chain of Thought 0
334,4.0,7.0,5,1.0,Chain of Thought 0
335,4.0,7.0,6,1.0,Chain of Thought 0
336,4.0,7.0,7,1.0,Chain of Thought 0
337,4.0,7.0,8,1.0,Chain of Thought 0
338,4.0,7.0,9,1.0,Chain of Thought 0
339,4.0,7.0,10,1.0,Chain of Thought 0
340,4.0,8.0,1,1.0,Chain of Thought 0
341,4.0,8.0,2,1.0,Chain of Thought 0
342,4.0,8.0,3,1.0,Chain of Thought 0
343,4.0,8.0,4,1.0,Chain of Thought 0
344,4.0,8.0,5,1.0,Chain of Thought 0
345,4.0,8.0,6,1.0,Chain of Thought 0
346,4.0,8.0,7,1.0,Chain of Thought 0
347,4.0,8.0,8,1.0,Chain of Thought 0
348,4.0,8.0,9,1.0,Chain of Thought 0
349,4.0,8.0,10,1.0,Chain of Thought 0
350,4.0,9.0,1,1.0,Chain of Thought 0
351,4.0,9.0,2,1.0,Chain of Thought 0
352,4.0,9.0,3,1.0,Chain of Thought 0
353,4.0,9.0,4,1.0,Chain of Thought 0
354,4.0,9.0,5,1.0,Chain of Thought 0
355,4.0,9.0,6,1.0,Chain of Thought 0
356,4.0,9.0,7,1.0,Chain of Thought 0
357,4.0,9.0,8,1.0,Chain of Thought 0
358,4.0,9.0,9,1.0,Chain of Thought 0
359,4.0,9.0,10,1.0,Chain of Thought 0
360,5.0,1.0,1,0.0,Chain of Thought 0
361,5.0,1.0,2,0.0,Chain of Thought 0
362,5.0,1.0,3,1.0,Chain of Thought 0
363,5.0,1.0,4,0.0,Chain of Thought 0
364,5.0,1.0,5,1.0,Chain of Thought 0
365,5.0,1.0,6,0.0,Chain of Thought 0
366,5.0,1.0,7,1.0,Chain of Thought 0
367,5.0,1.0,8,1.0,Chain of Thought 0
368,5.0,1.0,9,0.0,Chain of Thought 0
369,5.0,1.0,10,1.0,Chain of Thought 0
370,5.0,2.0,1,1.0,Chain of Thought 0
371,5.0,2.0,2,0.0,Chain of Thought 0
372,5.0,2.0,3,1.0,Chain of Thought 0
373,5.0,2.0,4,1.0,Chain of Thought 0
374,5.0,2.0,5,1.0,Chain of Thought 0
375,5.0,2.0,6,0.0,Chain of Thought 0
376,5.0,2.0,7,0.0,Chain of Thought 0
377,5.0,2.0,8,1.0,Chain of Thought 0
378,5.0,2.0,9,1.0,Chain of Thought 0
379,5.0,2.0,10,1.0,Chain of Thought 0
380,5.0,3.0,1,1.0,Chain of Thought 0
381,5.0,3.0,2,0.0,Chain of Thought 0
382,5.0,3.0,3,1.0,Chain of Thought 0
383,5.0,3.0,4,0.0,Chain of Thought 0
384,5.0,3.0,5,1.0,Chain of Thought 0
385,5.0,3.0,6,0.0,Chain of Thought 0
386,5.0,3.0,7,0.0,Chain of Thought 0
387,5.0,3.0,8,1.0,Chain of Thought 0
388,5.0,3.0,9,1.0,Chain of Thought 0
389,5.0,3.0,10,1.0,Chain of Thought 0
390,5.0,4.0,1,0.0,Chain of Thought 0
391,5.0,4.0,2,0.0,Chain of Thought 0
392,5.0,4.0,3,1.0,Chain of Thought 0
393,5.0,4.0,4,1.0,Chain of Thought 0
394,5.0,4.0,5,0.0,Chain of Thought 0
395,5.0,4.0,6,1.0,Chain of Thought 0
396,5.0,4.0,7,0.0,Chain of Thought 0
397,5.0,4.0,8,1.0,Chain of Thought 0
398,5.0,4.0,9,1.0,Chain of Thought 0
399,5.0,4.0,10,1.0,Chain of Thought 0
400,5.0,5.0,1,1.0,Chain of Thought 0
401,5.0,5.0,2,0.0,Chain of Thought 0
402,5.0,5.0,3,0.0,Chain of Thought 0
403,5.0,5.0,4,1.0,Chain of Thought 0
404,5.0,5.0,5,0.0,Chain of Thought 0
405,5.0,5.0,6,1.0,Chain of Thought 0
406,5.0,5.0,7,0.0,Chain of Thought 0
407,5.0,5.0,8,0.0,Chain of Thought 0
408,5.0,5.0,9,0.0,Chain of Thought 0
409,5.0,5.0,10,1.0,Chain of Thought 0
410,5.0,6.0,1,0.0,Chain of Thought 0
411,5.0,6.0,2,0.0,Chain of Thought 0
412,5.0,6.0,3,1.0,Chain of Thought 0
413,5.0,6.0,4,0.0,Chain of Thought 0
414,5.0,6.0,5,0.0,Chain of Thought 0
415,5.0,6.0,6,0.0,Chain of Thought 0
416,5.0,6.0,7,1.0,Chain of Thought 0
417,5.0,6.0,8,0.0,Chain of Thought 0
418,5.0,6.0,9,1.0,Chain of Thought 0
419,5.0,6.0,10,1.0,Chain of Thought 0
420,5.0,7.0,1,1.0,Chain of Thought 0
421,5.0,7.0,2,0.0,Chain of Thought 0
422,5.0,7.0,3,1.0,Chain of Thought 0
423,5.0,7.0,4,0.0,Chain of Thought 0
424,5.0,7.0,5,0.0,Chain of Thought 0
425,5.0,7.0,6,0.0,Chain of Thought 0
426,5.0,7.0,7,0.0,Chain of Thought 0
427,5.0,7.0,8,1.0,Chain of Thought 0
428,5.0,7.0,9,1.0,Chain of Thought 0
429,5.0,7.0,10,0.0,Chain of Thought 0
430,5.0,8.0,1,0.0,Chain of Thought 0
431,5.0,8.0,2,1.0,Chain of Thought 0
432,5.0,8.0,3,1.0,Chain of Thought 0
433,5.0,8.0,4,1.0,Chain of Thought 0
434,5.0,8.0,5,0.0,Chain of Thought 0
435,5.0,8.0,6,1.0,Chain of Thought 0
436,5.0,8.0,7,1.0,Chain of Thought 0
437,5.0,8.0,8,0.0,Chain of Thought 0
438,5.0,8.0,9,0.0,Chain of Thought 0
439,5.0,8.0,10,1.0,Chain of Thought 0
440,5.0,9.0,1,1.0,Chain of Thought 0
441,5.0,9.0,2,0.0,Chain of Thought 0
442,5.0,9.0,3,0.0,Chain of Thought 0
443,5.0,9.0,4,1.0,Chain of Thought 0
444,5.0,9.0,5,1.0,Chain of Thought 0
445,5.0,9.0,6,0.0,Chain of Thought 0
446,5.0,9.0,7,1.0,Chain of Thought 0
447,5.0,9.0,8,0.0,Chain of Thought 0
448,5.0,9.0,9,0.0,Chain of Thought 0
449,5.0,9.0,10,1.0,Chain of Thought 0
450,6.0,1.0,1,1.0,Chain of Thought 0
451,6.0,1.0,2,0.0,Chain of Thought 0
452,6.0,1.0,3,0.0,Chain of Thought 0
453,6.0,1.0,4,1.0,Chain of Thought 0
454,6.0,1.0,5,0.0,Chain of Thought 0
455,6.0,1.0,6,0.0,Chain of Thought 0
456,6.0,1.0,7,0.0,Chain of Thought 0
457,6.0,1.0,8,0.0,Chain of Thought 0
458,6.0,1.0,9,0.0,Chain of Thought 0
459,6.0,1.0,10,1.0,Chain of Thought 0
460,6.0,2.0,1,1.0,Chain of Thought 0
461,6.0,2.0,2,1.0,Chain of Thought 0
462,6.0,2.0,3,1.0,Chain of Thought 0
463,6.0,2.0,4,0.0,Chain of Thought 0
464,6.0,2.0,5,1.0,Chain of Thought 0
465,6.0,2.0,6,0.0,Chain of Thought 0
466,6.0,2.0,7,0.0,Chain of Thought 0
467,6.0,2.0,8,1.0,Chain of Thought 0
468,6.0,2.0,9,1.0,Chain of Thought 0
469,6.0,2.0,10,0.0,Chain of Thought 0
470,6.0,3.0,1,1.0,Chain of Thought 0
471,6.0,3.0,2,1.0,Chain of Thought 0
472,6.0,3.0,3,0.0,Chain of Thought 0
473,6.0,3.0,4,0.0,Chain of Thought 0
474,6.0,3.0,5,1.0,Chain of Thought 0
475,6.0,3.0,6,0.0,Chain of Thought 0
476,6.0,3.0,7,1.0,Chain of Thought 0
477,6.0,3.0,8,0.0,Chain of Thought 0
478,6.0,3.0,9,0.0,Chain of Thought 0
479,6.0,3.0,10,0.0,Chain of Thought 0
480,6.0,4.0,1,0.0,Chain of Thought 0
481,6.0,4.0,2,1.0,Chain of Thought 0
482,6.0,4.0,3,1.0,Chain of Thought 0
483,6.0,4.0,4,0.0,Chain of Thought 0
484,6.0,4.0,5,0.0,Chain of Thought 0
485,6.0,4.0,6,0.0,Chain of Thought 0
486,6.0,4.0,7,0.0,Chain of Thought 0
487,6.0,4.0,8,0.0,Chain of Thought 0
488,6.0,4.0,9,1.0,Chain of Thought 0
489,6.0,4.0,10,0.0,Chain of Thought 0
490,6.0,5.0,1,1.0,Chain of Thought 0
491,6.0,5.0,2,1.0,Chain of Thought 0
492,6.0,5.0,3,1.0,Chain of Thought 0
493,6.0,5.0,4,0.0,Chain of Thought 0
494,6.0,5.0,5,0.0,Chain of Thought 0
495,6.0,5.0,6,1.0,Chain of Thought 0
496,6.0,5.0,7,1.0,Chain of Thought 0
497,6.0,5.0,8,0.0,Chain of Thought 0
498,6.0,5.0,9,0.0,Chain of Thought 0
499,6.0,5.0,10,1.0,Chain of Thought 0
500,6.0,6.0,1,1.0,Chain of Thought 0
501,6.0,6.0,2,0.0,Chain of Thought 0
502,6.0,6.0,3,1.0,Chain of Thought 0
503,6.0,6.0,4,1.0,Chain of Thought 0
504,6.0,6.0,5,1.0,Chain of Thought 0
505,6.0,6.0,6,1.0,Chain of Thought 0
506,6.0,6.0,7,1.0,Chain of Thought 0
507,6.0,6.0,8,0.0,Chain of Thought 0
508,6.0,6.0,9,0.0,Chain of Thought 0
509,6.0,6.0,10,0.0,Chain of Thought 0
510,6.0,7.0,1,1.0,Chain of Thought 0
511,6.0,7.0,2,0.0,Chain of Thought 0
512,6.0,7.0,3,0.0,Chain of Thought 0
513,6.0,7.0,4,1.0,Chain of Thought 0
514,6.0,7.0,5,1.0,Chain of Thought 0
515,6.0,7.0,6,0.0,Chain of Thought 0
516,6.0,7.0,7,0.0,Chain of Thought 0
517,6.0,7.0,8,0.0,Chain of Thought 0
518,6.0,7.0,9,0.0,Chain of Thought 0
519,6.0,7.0,10,1.0,Chain of Thought 0
520,6.0,8.0,1,0.0,Chain of Thought 0
521,6.0,8.0,2,1.0,Chain of Thought 0
522,6.0,8.0,3,1.0,Chain of Thought 0
523,6.0,8.0,4,1.0,Chain of Thought 0
524,6.0,8.0,5,1.0,Chain of Thought 0
525,6.0,8.0,6,0.0,Chain of Thought 0
526,6.0,8.0,7,0.0,Chain of Thought 0
527,6.0,8.0,8,1.0,Chain of Thought 0
528,6.0,8.0,9,1.0,Chain of Thought 0
529,6.0,8.0,10,1.0,Chain of Thought 0
530,6.0,9.0,1,1.0,Chain of Thought 0
531,6.0,9.0,2,0.0,Chain of Thought 0
532,6.0,9.0,3,1.0,Chain of Thought 0
533,6.0,9.0,4,0.0,Chain of Thought 0
534,6.0,9.0,5,0.0,Chain of Thought 0
535,6.0,9.0,6,1.0,Chain of Thought 0
