,problem,num_incontext,attempt,accuracy,agent,cot,num_objects
178,2.0,9.0,9,0.0,gpt-4o,Chain of Thought 0,2
179,2.0,9.0,10,1.0,gpt-4o,Chain of Thought 0,2
180,3.0,1.0,1,0.0,gpt-4o,Chain of Thought 0,4
181,3.0,1.0,2,0.0,gpt-4o,Chain of Thought 0,4
182,3.0,1.0,3,1.0,gpt-4o,Chain of Thought 0,4
183,3.0,1.0,4,1.0,gpt-4o,Chain of Thought 0,4
184,3.0,1.0,5,1.0,gpt-4o,Chain of Thought 0,4
185,3.0,1.0,6,0.0,gpt-4o,Chain of Thought 0,4
186,3.0,1.0,7,1.0,gpt-4o,Chain of Thought 0,4
187,3.0,1.0,8,1.0,gpt-4o,Chain of Thought 0,4
188,3.0,1.0,9,0.0,gpt-4o,Chain of Thought 0,4
189,3.0,1.0,10,0.0,gpt-4o,Chain of Thought 0,4
190,3.0,2.0,1,0.0,gpt-4o,Chain of Thought 0,4
191,3.0,2.0,2,0.0,gpt-4o,Chain of Thought 0,4
192,3.0,2.0,3,0.0,gpt-4o,Chain of Thought 0,4
193,3.0,2.0,4,0.0,gpt-4o,Chain of Thought 0,4
194,3.0,2.0,5,0.0,gpt-4o,Chain of Thought 0,4
195,3.0,2.0,6,0.0,gpt-4o,Chain of Thought 0,4
196,3.0,2.0,7,0.0,gpt-4o,Chain of Thought 0,4
197,3.0,2.0,8,1.0,gpt-4o,Chain of Thought 0,4
198,3.0,2.0,9,0.0,gpt-4o,Chain of Thought 0,4
199,3.0,2.0,10,1.0,gpt-4o,Chain of Thought 0,4
200,3.0,3.0,1,0.0,gpt-4o,Chain of Thought 0,4
201,3.0,3.0,2,0.0,gpt-4o,Chain of Thought 0,4
202,3.0,3.0,3,1.0,gpt-4o,Chain of Thought 0,4
203,3.0,3.0,4,1.0,gpt-4o,Chain of Thought 0,4
204,3.0,3.0,5,0.0,gpt-4o,Chain of Thought 0,4
205,3.0,3.0,6,1.0,gpt-4o,Chain of Thought 0,4
206,3.0,3.0,7,1.0,gpt-4o,Chain of Thought 0,4
207,3.0,3.0,8,0.0,gpt-4o,Chain of Thought 0,4
208,3.0,3.0,9,1.0,gpt-4o,Chain of Thought 0,4
209,3.0,3.0,10,1.0,gpt-4o,Chain of Thought 0,4
210,3.0,4.0,1,0.0,gpt-4o,Chain of Thought 0,4
211,3.0,4.0,2,1.0,gpt-4o,Chain of Thought 0,4
212,3.0,4.0,3,0.0,gpt-4o,Chain of Thought 0,4
213,3.0,4.0,4,1.0,gpt-4o,Chain of Thought 0,4
214,3.0,4.0,5,1.0,gpt-4o,Chain of Thought 0,4
215,3.0,4.0,6,0.0,gpt-4o,Chain of Thought 0,4
216,3.0,4.0,7,0.0,gpt-4o,Chain of Thought 0,4
217,3.0,4.0,8,0.0,gpt-4o,Chain of Thought 0,4
218,3.0,4.0,9,1.0,gpt-4o,Chain of Thought 0,4
219,3.0,4.0,10,1.0,gpt-4o,Chain of Thought 0,4
220,3.0,5.0,1,1.0,gpt-4o,Chain of Thought 0,4
221,3.0,5.0,2,0.0,gpt-4o,Chain of Thought 0,4
222,3.0,5.0,3,1.0,gpt-4o,Chain of Thought 0,4
223,3.0,5.0,4,0.0,gpt-4o,Chain of Thought 0,4
224,3.0,5.0,5,0.0,gpt-4o,Chain of Thought 0,4
225,3.0,5.0,6,1.0,gpt-4o,Chain of Thought 0,4
226,3.0,5.0,7,1.0,gpt-4o,Chain of Thought 0,4
227,3.0,5.0,8,0.0,gpt-4o,Chain of Thought 0,4
228,3.0,5.0,9,1.0,gpt-4o,Chain of Thought 0,4
229,3.0,5.0,10,0.0,gpt-4o,Chain of Thought 0,4
230,3.0,6.0,1,0.0,gpt-4o,Chain of Thought 0,4
231,3.0,6.0,2,1.0,gpt-4o,Chain of Thought 0,4
232,3.0,6.0,3,0.0,gpt-4o,Chain of Thought 0,4
233,3.0,6.0,4,1.0,gpt-4o,Chain of Thought 0,4
234,3.0,6.0,5,1.0,gpt-4o,Chain of Thought 0,4
235,3.0,6.0,6,1.0,gpt-4o,Chain of Thought 0,4
236,3.0,6.0,7,1.0,gpt-4o,Chain of Thought 0,4
237,3.0,6.0,8,1.0,gpt-4o,Chain of Thought 0,4
238,3.0,6.0,9,1.0,gpt-4o,Chain of Thought 0,4
239,3.0,6.0,10,1.0,gpt-4o,Chain of Thought 0,4
240,3.0,7.0,1,0.0,gpt-4o,Chain of Thought 0,4
241,3.0,7.0,2,1.0,gpt-4o,Chain of Thought 0,4
242,3.0,7.0,3,1.0,gpt-4o,Chain of Thought 0,4
243,3.0,7.0,4,1.0,gpt-4o,Chain of Thought 0,4
244,3.0,7.0,5,1.0,gpt-4o,Chain of Thought 0,4
245,3.0,7.0,6,1.0,gpt-4o,Chain of Thought 0,4
246,3.0,7.0,7,1.0,gpt-4o,Chain of Thought 0,4
247,3.0,7.0,8,0.0,gpt-4o,Chain of Thought 0,4
248,3.0,7.0,9,0.0,gpt-4o,Chain of Thought 0,4
249,3.0,7.0,10,1.0,gpt-4o,Chain of Thought 0,4
250,3.0,8.0,1,1.0,gpt-4o,Chain of Thought 0,4
251,3.0,8.0,2,1.0,gpt-4o,Chain of Thought 0,4
252,3.0,8.0,3,1.0,gpt-4o,Chain of Thought 0,4
253,3.0,8.0,4,0.0,gpt-4o,Chain of Thought 0,4
254,3.0,8.0,5,0.0,gpt-4o,Chain of Thought 0,4
255,3.0,8.0,6,0.0,gpt-4o,Chain of Thought 0,4
256,3.0,8.0,7,1.0,gpt-4o,Chain of Thought 0,4
257,3.0,8.0,8,1.0,gpt-4o,Chain of Thought 0,4
258,3.0,8.0,9,1.0,gpt-4o,Chain of Thought 0,4
259,3.0,8.0,10,0.0,gpt-4o,Chain of Thought 0,4
260,3.0,9.0,1,1.0,gpt-4o,Chain of Thought 0,4
261,3.0,9.0,2,1.0,gpt-4o,Chain of Thought 0,4
262,3.0,9.0,3,1.0,gpt-4o,Chain of Thought 0,4
263,3.0,9.0,4,1.0,gpt-4o,Chain of Thought 0,4
264,3.0,9.0,5,0.0,gpt-4o,Chain of Thought 0,4
265,3.0,9.0,6,0.0,gpt-4o,Chain of Thought 0,4
266,3.0,9.0,7,0.0,gpt-4o,Chain of Thought 0,4
267,3.0,9.0,8,1.0,gpt-4o,Chain of Thought 0,4
268,3.0,9.0,9,0.0,gpt-4o,Chain of Thought 0,4
269,3.0,9.0,10,0.0,gpt-4o,Chain of Thought 0,4
270,4.0,1.0,1,1.0,gpt-4o,Chain of Thought 0,2
271,4.0,1.0,2,0.0,gpt-4o,Chain of Thought 0,2
272,4.0,1.0,3,0.0,gpt-4o,Chain of Thought 0,2
273,4.0,1.0,4,1.0,gpt-4o,Chain of Thought 0,2
274,4.0,1.0,5,0.0,gpt-4o,Chain of Thought 0,2
275,4.0,1.0,6,0.0,gpt-4o,Chain of Thought 0,2
276,4.0,1.0,7,1.0,gpt-4o,Chain of Thought 0,2
277,4.0,1.0,8,1.0,gpt-4o,Chain of Thought 0,2
278,4.0,1.0,9,1.0,gpt-4o,Chain of Thought 0,2
279,4.0,1.0,10,0.0,gpt-4o,Chain of Thought 0,2
280,4.0,2.0,1,1.0,gpt-4o,Chain of Thought 0,2
281,4.0,2.0,2,0.0,gpt-4o,Chain of Thought 0,2
282,4.0,2.0,3,0.0,gpt-4o,Chain of Thought 0,2
283,4.0,2.0,4,1.0,gpt-4o,Chain of Thought 0,2
284,4.0,2.0,5,1.0,gpt-4o,Chain of Thought 0,2
285,4.0,2.0,6,1.0,gpt-4o,Chain of Thought 0,2
286,4.0,2.0,7,0.0,gpt-4o,Chain of Thought 0,2
287,4.0,2.0,8,1.0,gpt-4o,Chain of Thought 0,2
288,4.0,2.0,9,1.0,gpt-4o,Chain of Thought 0,2
289,4.0,2.0,10,1.0,gpt-4o,Chain of Thought 0,2
290,4.0,3.0,1,1.0,gpt-4o,Chain of Thought 0,2
291,4.0,3.0,2,1.0,gpt-4o,Chain of Thought 0,2
292,4.0,3.0,3,1.0,gpt-4o,Chain of Thought 0,2
293,4.0,3.0,4,1.0,gpt-4o,Chain of Thought 0,2
294,4.0,3.0,5,1.0,gpt-4o,Chain of Thought 0,2
295,4.0,3.0,6,1.0,gpt-4o,Chain of Thought 0,2
296,4.0,3.0,7,1.0,gpt-4o,Chain of Thought 0,2
297,4.0,3.0,8,0.0,gpt-4o,Chain of Thought 0,2
298,4.0,3.0,9,1.0,gpt-4o,Chain of Thought 0,2
299,4.0,3.0,10,1.0,gpt-4o,Chain of Thought 0,2
300,4.0,4.0,1,1.0,gpt-4o,Chain of Thought 0,2
301,4.0,4.0,2,1.0,gpt-4o,Chain of Thought 0,2
302,4.0,4.0,3,0.0,gpt-4o,Chain of Thought 0,2
303,4.0,4.0,4,1.0,gpt-4o,Chain of Thought 0,2
304,4.0,4.0,5,1.0,gpt-4o,Chain of Thought 0,2
305,4.0,4.0,6,1.0,gpt-4o,Chain of Thought 0,2
306,4.0,4.0,7,1.0,gpt-4o,Chain of Thought 0,2
307,4.0,4.0,8,1.0,gpt-4o,Chain of Thought 0,2
308,4.0,4.0,9,1.0,gpt-4o,Chain of Thought 0,2
309,4.0,4.0,10,1.0,gpt-4o,Chain of Thought 0,2
310,4.0,5.0,1,1.0,gpt-4o,Chain of Thought 0,2
311,4.0,5.0,2,1.0,gpt-4o,Chain of Thought 0,2
312,4.0,5.0,3,1.0,gpt-4o,Chain of Thought 0,2
313,4.0,5.0,4,1.0,gpt-4o,Chain of Thought 0,2
314,4.0,5.0,5,1.0,gpt-4o,Chain of Thought 0,2
315,4.0,5.0,6,1.0,gpt-4o,Chain of Thought 0,2
316,4.0,5.0,7,1.0,gpt-4o,Chain of Thought 0,2
317,4.0,5.0,8,1.0,gpt-4o,Chain of Thought 0,2
318,4.0,5.0,9,0.0,gpt-4o,Chain of Thought 0,2
319,4.0,5.0,10,1.0,gpt-4o,Chain of Thought 0,2
320,4.0,6.0,1,1.0,gpt-4o,Chain of Thought 0,2
321,4.0,6.0,2,1.0,gpt-4o,Chain of Thought 0,2
322,4.0,6.0,3,1.0,gpt-4o,Chain of Thought 0,2
323,4.0,6.0,4,1.0,gpt-4o,Chain of Thought 0,2
324,4.0,6.0,5,1.0,gpt-4o,Chain of Thought 0,2
325,4.0,6.0,6,1.0,gpt-4o,Chain of Thought 0,2
326,4.0,6.0,7,1.0,gpt-4o,Chain of Thought 0,2
327,4.0,6.0,8,1.0,gpt-4o,Chain of Thought 0,2
328,4.0,6.0,9,1.0,gpt-4o,Chain of Thought 0,2
329,4.0,6.0,10,1.0,gpt-4o,Chain of Thought 0,2
330,4.0,7.0,1,1.0,gpt-4o,Chain of Thought 0,2
331,4.0,7.0,2,1.0,gpt-4o,Chain of Thought 0,2
332,4.0,7.0,3,1.0,gpt-4o,Chain of Thought 0,2
333,4.0,7.0,4,1.0,gpt-4o,Chain of Thought 0,2
334,4.0,7.0,5,1.0,gpt-4o,Chain of Thought 0,2
335,4.0,7.0,6,1.0,gpt-4o,Chain of Thought 0,2
336,4.0,7.0,7,1.0,gpt-4o,Chain of Thought 0,2
337,4.0,7.0,8,1.0,gpt-4o,Chain of Thought 0,2
338,4.0,7.0,9,1.0,gpt-4o,Chain of Thought 0,2
339,4.0,7.0,10,1.0,gpt-4o,Chain of Thought 0,2
340,4.0,8.0,1,1.0,gpt-4o,Chain of Thought 0,2
341,4.0,8.0,2,1.0,gpt-4o,Chain of Thought 0,2
342,4.0,8.0,3,1.0,gpt-4o,Chain of Thought 0,2
343,4.0,8.0,4,1.0,gpt-4o,Chain of Thought 0,2
344,4.0,8.0,5,1.0,gpt-4o,Chain of Thought 0,2
345,4.0,8.0,6,1.0,gpt-4o,Chain of Thought 0,2
346,4.0,8.0,7,1.0,gpt-4o,Chain of Thought 0,2
347,4.0,8.0,8,1.0,gpt-4o,Chain of Thought 0,2
348,4.0,8.0,9,1.0,gpt-4o,Chain of Thought 0,2
349,4.0,8.0,10,1.0,gpt-4o,Chain of Thought 0,2
350,4.0,9.0,1,1.0,gpt-4o,Chain of Thought 0,2
351,4.0,9.0,2,1.0,gpt-4o,Chain of Thought 0,2
352,4.0,9.0,3,1.0,gpt-4o,Chain of Thought 0,2
353,4.0,9.0,4,1.0,gpt-4o,Chain of Thought 0,2
354,4.0,9.0,5,1.0,gpt-4o,Chain of Thought 0,2
355,4.0,9.0,6,1.0,gpt-4o,Chain of Thought 0,2
356,4.0,9.0,7,1.0,gpt-4o,Chain of Thought 0,2
357,4.0,9.0,8,1.0,gpt-4o,Chain of Thought 0,2
358,4.0,9.0,9,1.0,gpt-4o,Chain of Thought 0,2
359,4.0,9.0,10,1.0,gpt-4o,Chain of Thought 0,2
360,5.0,1.0,1,0.0,gpt-4o,Chain of Thought 0,4
361,5.0,1.0,2,0.0,gpt-4o,Chain of Thought 0,4
362,5.0,1.0,3,1.0,gpt-4o,Chain of Thought 0,4
363,5.0,1.0,4,0.0,gpt-4o,Chain of Thought 0,4
364,5.0,1.0,5,1.0,gpt-4o,Chain of Thought 0,4
365,5.0,1.0,6,0.0,gpt-4o,Chain of Thought 0,4
366,5.0,1.0,7,1.0,gpt-4o,Chain of Thought 0,4
367,5.0,1.0,8,1.0,gpt-4o,Chain of Thought 0,4
368,5.0,1.0,9,0.0,gpt-4o,Chain of Thought 0,4
369,5.0,1.0,10,1.0,gpt-4o,Chain of Thought 0,4
370,5.0,2.0,1,1.0,gpt-4o,Chain of Thought 0,4
371,5.0,2.0,2,0.0,gpt-4o,Chain of Thought 0,4
372,5.0,2.0,3,1.0,gpt-4o,Chain of Thought 0,4
373,5.0,2.0,4,1.0,gpt-4o,Chain of Thought 0,4
374,5.0,2.0,5,1.0,gpt-4o,Chain of Thought 0,4
375,5.0,2.0,6,0.0,gpt-4o,Chain of Thought 0,4
376,5.0,2.0,7,0.0,gpt-4o,Chain of Thought 0,4
377,5.0,2.0,8,1.0,gpt-4o,Chain of Thought 0,4
378,5.0,2.0,9,1.0,gpt-4o,Chain of Thought 0,4
379,5.0,2.0,10,1.0,gpt-4o,Chain of Thought 0,4
380,5.0,3.0,1,1.0,gpt-4o,Chain of Thought 0,4
381,5.0,3.0,2,0.0,gpt-4o,Chain of Thought 0,4
382,5.0,3.0,3,1.0,gpt-4o,Chain of Thought 0,4
383,5.0,3.0,4,0.0,gpt-4o,Chain of Thought 0,4
384,5.0,3.0,5,1.0,gpt-4o,Chain of Thought 0,4
385,5.0,3.0,6,0.0,gpt-4o,Chain of Thought 0,4
386,5.0,3.0,7,0.0,gpt-4o,Chain of Thought 0,4
387,5.0,3.0,8,1.0,gpt-4o,Chain of Thought 0,4
388,5.0,3.0,9,1.0,gpt-4o,Chain of Thought 0,4
389,5.0,3.0,10,1.0,gpt-4o,Chain of Thought 0,4
390,5.0,4.0,1,0.0,gpt-4o,Chain of Thought 0,4
391,5.0,4.0,2,0.0,gpt-4o,Chain of Thought 0,4
392,5.0,4.0,3,1.0,gpt-4o,Chain of Thought 0,4
393,5.0,4.0,4,1.0,gpt-4o,Chain of Thought 0,4
394,5.0,4.0,5,0.0,gpt-4o,Chain of Thought 0,4
395,5.0,4.0,6,1.0,gpt-4o,Chain of Thought 0,4
396,5.0,4.0,7,0.0,gpt-4o,Chain of Thought 0,4
397,5.0,4.0,8,1.0,gpt-4o,Chain of Thought 0,4
